iter	Passed	Remaining
0	2	854
1	5	847
2	7	775
3	10	769
4	13	782
5	15	747
6	17	740
7	20	742
8	23	749
9	25	735
10	27	714
11	29	716
12	32	714
13	34	700
14	37	708
15	39	708
16	42	700
17	45	705
18	47	702
19	49	694
20	52	699
21	55	704
22	58	707
23	64	740
24	68	754
25	73	770
26	77	782
27	81	794
28	86	805
29	90	816
30	95	827
31	99	837
32	104	846
33	108	852
34	114	867
35	118	870
36	123	874
37	127	876
38	131	877
39	135	879
40	139	881
41	145	894
42	150	897
43	154	899
44	158	900
45	163	901
46	167	903
47	172	903
48	176	903
49	180	901
50	185	905
51	189	903
52	193	901
53	197	901
54	202	902
55	206	898
56	211	900
57	215	898
58	219	897
59	224	896
60	228	894
61	232	892
62	235	887
63	240	885
64	243	880
65	249	883
66	253	880
67	257	877
68	261	875
69	266	876
70	270	873
71	275	871
72	279	869
73	284	870
74	290	870
75	293	865
76	298	864
77	302	861
78	307	860
79	311	856
80	315	853
81	319	849
82	323	845
83	327	842
84	331	838
85	335	835
86	340	833
87	344	829
88	349	829
89	354	827
90	361	829
91	364	824
92	369	822
93	386	846
94	390	841
95	399	849
96	403	844
97	408	841
98	415	843
99	420	840
100	430	848
101	439	853
102	445	852
103	452	853
104	458	852
105	464	850
106	468	845
107	473	842
108	478	837
109	482	833
110	486	828
111	490	823
112	494	817
113	498	813
114	502	808
115	507	804
116	511	800
117	516	796
118	520	791
119	524	786
120	529	782
121	533	778
122	537	773
123	541	769
124	546	764
125	550	760
126	554	755
127	558	750
128	562	745
129	567	741
130	570	736
131	574	731
132	579	727
133	583	722
134	587	718
135	591	713
136	596	709
137	600	704
138	604	700
139	608	695
140	612	691
141	616	686
142	621	681
143	625	677
144	629	672
145	633	668
146	639	665
147	643	660
148	647	656
149	654	654
150	658	649
151	662	645
152	667	640
153	671	636
154	675	631
155	679	627
156	683	622
157	688	618
158	692	614
159	696	609
160	701	605
161	705	600
162	709	596
163	713	591
164	717	587
165	721	582
166	726	578
167	729	573
168	732	567
169	734	561
170	737	556
171	740	550
172	742	545
173	744	539
174	747	533
175	749	528
176	751	522
177	753	516
178	756	511
179	758	505
180	761	500
181	763	495
182	771	492
183	773	487
184	779	484
185	781	479
186	787	475
187	789	470
188	798	469
189	802	464
190	804	459
191	807	454
192	809	448
193	812	443
194	814	438
195	816	433
196	818	428
197	824	424
198	829	421
199	831	415
200	833	410
201	835	405
202	838	400
203	840	395
204	842	390
205	844	385
206	846	380
207	849	375
208	851	370
209	853	365
210	856	361
211	858	356
212	860	351
213	862	346
214	865	342
215	867	337
216	870	332
217	872	328
218	878	324
219	880	320
220	883	315
221	890	312
222	894	308
223	898	304
224	903	301
225	908	297
226	911	293
227	918	290
228	922	285
229	931	283
230	940	280
231	945	277
232	951	273
233	959	270
234	961	266
235	966	262
236	975	259
237	978	255
238	984	251
239	988	247
240	993	243
241	996	238
242	999	234
243	1005	230
244	1008	226
245	1011	222
246	1018	218
247	1021	214
248	1028	210
249	1035	207
250	1037	202
251	1045	199
252	1049	195
253	1054	190
254	1057	186
255	1064	182
256	1068	178
257	1071	174
258	1075	170
259	1081	166
260	1084	161
261	1086	157
262	1089	153
263	1092	148
264	1094	144
265	1096	140
266	1098	135
267	1101	131
268	1103	127
269	1105	122
270	1116	119
271	1118	115
272	1120	110
273	1124	106
274	1126	102
275	1128	98
276	1136	94
277	1137	90
278	1140	85
279	1146	81
280	1148	77
281	1154	73
282	1156	69
283	1161	65
284	1163	61
285	1169	57
286	1171	53
287	1178	49
288	1180	44
289	1183	40
290	1185	36
291	1187	32
292	1189	28
293	1192	24
294	1194	20
295	1196	16
296	1199	12
297	1201	8
298	1203	4
299	1207	0
