,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(32,)",[0.68943119 0.69349773 0.70424691 0.7076397 ],0.6987038820328799,"('cat__internet_service_Fiber optic',)",0.01198652513120849,0.00747764488287091,0.004317220286029948
2,"(28, 32)",[0.84316541 0.76811022 0.73701933 0.72312556],0.7678551305050574,"('cat__type_Two year', 'cat__internet_service_Fiber optic')",0.07442773464628057,0.046430818192037836,0.026806845381867617
3,"(27, 28, 32)",[0.86860108 0.83415591 0.79362378 0.76027214],0.8141632288736769,"('cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic')",0.06555245363808963,0.04089408432726269,0.023610210594608376
4,"(27, 28, 30, 32)",[0.84633907 0.85039065 0.82498117 0.77431447],0.8240063385513176,"('cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic')",0.04852240245684013,0.030270098336615456,0.017476449423041378
5,"(27, 28, 30, 32, 33)",[0.84983578 0.8538066  0.82464354 0.77790833],0.8265485628159033,"('cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.04845405101466337,0.030227458138039547,0.017451831092915277
6,"(27, 28, 29, 30, 32, 33)",[0.84735458 0.85455141 0.82624465 0.77818143],0.8265830175133063,"('cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.04779813061548347,0.029818270340674646,0.01721558640795754
7,"(27, 28, 29, 30, 31, 32, 33)",[0.85246804 0.85480566 0.82340557 0.78027172],0.8277377486166596,"('cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.04819652362277508,0.03006680287197426,0.017359076731805752
8,"(27, 28, 29, 30, 31, 32, 33, 34)",[0.83738491 0.84430505 0.81871179 0.77353717],0.8184847326176355,"('cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male')",0.044221957808756845,0.02758731933562842,0.015927546244645235
9,"(25, 27, 28, 29, 30, 31, 32, 33, 34)",[0.8292309  0.82971398 0.80445489 0.76524653],0.8071615752469523,"('num__kbd__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male')",0.04210583390383851,0.0262672017105517,0.015165375978445222
10,"(0, 25, 27, 28, 29, 30, 31, 32, 33, 34)",[0.80971183 0.8163837  0.77272236 0.73460492],0.7833557009994205,"('num__spl__monthly_charges_sp_0', 'num__kbd__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male')",0.052405484686726796,0.03269251097482694,0.01887503001180113
